Ticker,Name,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIVE US Equity,AEROHIVE NETWORKS INC,-7227000,-16715000,8724000,10431000,45,452010,4520,72.2787,78.9805,81.445,87.5577,250478368,297797952,315819840,182128432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFMD US Equity,AFFIMED NV,-18784000,-32365000,-26174000,48747000,35,352010,3520,15.1887,20.4928,26.8293,65.4578,217933872,56767732,50597876,169540384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRX US Equity,AGILE THERAPEUTICS INC,-25768000,-23332000,-25873000,-17213000,35,352020,3520,41.3492,33.7848,28.2083,9.9053,217800368,163930464,77363680,19687914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURI US Equity,AGRIEURO CORP, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMB US Equity,AGRO CAPITAL MANAGEMENT CORP, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMT US Equity,AIMMUNE THERAPEUTICS INC,-37398000,-64279000,-106030000,-178548000,35,352010,3520,2.8772,4.2896,14.0765,11.9592,779307712,1026671808,1932261632,1486436608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRG US Equity,AIRGAIN INC,1715971,4393628,-517719,386648,45,452030,4520,75.793,19.6761,17.8922,14.6668, ,133560896,85243112,95147240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKBA US Equity,AKEBIA THERAPEUTICS INC,-52821000,55244000,-57781000, ,35,352010,3520,8.3546,77.3096,67.2389, ,396155872,401989536,707999616,564700352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKTS US Equity,AKOUSTIS TECHNOLOGIES INC, ,-2932551,-7173677,-21142130,45,452030,4520, ,22.0575,17.0316,52.7436, ,28728578,166715936,161418992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALRM US Equity,ALARM.COM HOLDINGS INC,17672000,13545000,46723000,60710000,45,451030,4510,24.7524,26.7932,37.3516,37.0525,758694720,1284145280,1781887232,2495054848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
